customer_id,age,income,credit_score,account_balance,tenure_months,num_products,active_investment,has_mortgage,has_loan,has_credit_card,segment,risk_profile,total_assets,monthly_expenses,last_interaction_days,has_premium_credit_card,recommend_premium_credit_card,has_mortgage_refinance,recommend_mortgage_refinance,has_investment_account,recommend_investment_account,has_high_yield_savings,recommend_high_yield_savings,has_personal_loan,recommend_personal_loan,monthly_income,debt_to_income,savings_ratio,customer_description
11,66,55363.38,475,7010.65,118,2,1,0,0,0,Senior,Conservative,101386.76,931.74,75,1,0,1,0,0,20,0,15,0,59,4613.62,0.21,0.7,"Customer Profile:
Age: 66
Income: $55363.38 yearly ($4613.62 monthly)
Credit Score: 475
Account Balance: $7010.65
Total Assets: $101386.76
Monthly Expenses: $931.74
Savings Ratio: 0.70
Debt-to-Income Ratio: 0.21
Tenure: 118 months
Current Products: 2
Customer Segment: Senior
Risk Profile: Conservative
Last Interaction: 75 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: No
Has Credit Card: No
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
12,63,71011.13,706,22466.02,81,2,1,0,1,1,Premium,Very Aggressive,4973.57,4413.36,87,0,75,0,46,1,0,1,0,1,0,5917.59,0.22,0.25,"Customer Profile:
Age: 63
Income: $71011.13 yearly ($5917.59 monthly)
Credit Score: 706
Account Balance: $22466.02
Total Assets: $4973.57
Monthly Expenses: $4413.36
Savings Ratio: 0.25
Debt-to-Income Ratio: 0.22
Tenure: 81 months
Current Products: 2
Customer Segment: Premium
Risk Profile: Very Aggressive
Last Interaction: 87 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: Yes
"
13,22,66574.63,691,8584.43,5,1,0,0,1,1,Senior,Very Aggressive,480238.8,3255.5,88,0,61,0,85,1,0,1,0,0,12,5547.89,0.26,0.41,"Customer Profile:
Age: 22
Income: $66574.63 yearly ($5547.89 monthly)
Credit Score: 691
Account Balance: $8584.43
Total Assets: $480238.80
Monthly Expenses: $3255.50
Savings Ratio: 0.41
Debt-to-Income Ratio: 0.26
Tenure: 5 months
Current Products: 1
Customer Segment: Senior
Risk Profile: Very Aggressive
Last Interaction: 88 days ago
Active Investment: No
Has Mortgage: No
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: No
"
14,43,107982.36,621,91783.37,81,1,0,0,0,1,Student,Moderate,201851.51,3055.87,18,0,25,1,0,0,80,0,71,0,76,8998.53,0.47,0.66,"Customer Profile:
Age: 43
Income: $107982.36 yearly ($8998.53 monthly)
Credit Score: 621
Account Balance: $91783.37
Total Assets: $201851.51
Monthly Expenses: $3055.87
Savings Ratio: 0.66
Debt-to-Income Ratio: 0.47
Tenure: 81 months
Current Products: 1
Customer Segment: Student
Risk Profile: Moderate
Last Interaction: 18 days ago
Active Investment: No
Has Mortgage: No
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
15,59,111780.0,848,18073.97,13,2,0,0,0,0,Premium,Aggressive,299166.78,3007.81,45,1,0,1,0,0,39,0,31,1,0,9315.0,0.35,0.68,"Customer Profile:
Age: 59
Income: $111780.00 yearly ($9315.00 monthly)
Credit Score: 848
Account Balance: $18073.97
Total Assets: $299166.78
Monthly Expenses: $3007.81
Savings Ratio: 0.68
Debt-to-Income Ratio: 0.35
Tenure: 13 months
Current Products: 2
Customer Segment: Premium
Risk Profile: Aggressive
Last Interaction: 45 days ago
Active Investment: No
Has Mortgage: No
Has Loan: No
Has Credit Card: No
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: No
Personal Loan: Yes
"
16,54,15245.47,773,43317.39,234,4,1,1,1,0,Standard,Conservative,235613.42,-26.78,23,1,0,1,0,0,47,0,87,0,21,1270.46,0.26,0.7,"Customer Profile:
Age: 54
Income: $15245.47 yearly ($1270.46 monthly)
Credit Score: 773
Account Balance: $43317.39
Total Assets: $235613.42
Monthly Expenses: $-26.78
Savings Ratio: 0.70
Debt-to-Income Ratio: 0.26
Tenure: 234 months
Current Products: 4
Customer Segment: Standard
Risk Profile: Conservative
Last Interaction: 23 days ago
Active Investment: Yes
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
17,38,19734.51,615,12285.65,79,4,1,1,1,1,Senior,Conservative,15230.47,5483.52,86,1,0,0,95,0,43,0,0,1,0,1644.54,0.46,0.0,"Customer Profile:
Age: 38
Income: $19734.51 yearly ($1644.54 monthly)
Credit Score: 615
Account Balance: $12285.65
Total Assets: $15230.47
Monthly Expenses: $5483.52
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.46
Tenure: 79 months
Current Products: 4
Customer Segment: Senior
Risk Profile: Conservative
Last Interaction: 86 days ago
Active Investment: Yes
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: No
High Yield Savings: No
Personal Loan: Yes
"
18,46,43312.47,334,73949.14,56,4,1,1,1,0,Basic,Very Aggressive,142493.5,3012.63,54,0,66,0,72,1,0,0,50,0,58,3609.37,0.31,0.17,"Customer Profile:
Age: 46
Income: $43312.47 yearly ($3609.37 monthly)
Credit Score: 334
Account Balance: $73949.14
Total Assets: $142493.50
Monthly Expenses: $3012.63
Savings Ratio: 0.17
Debt-to-Income Ratio: 0.31
Tenure: 56 months
Current Products: 4
Customer Segment: Basic
Risk Profile: Very Aggressive
Last Interaction: 54 days ago
Active Investment: Yes
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: No
Personal Loan: No
"
19,49,95535.61,685,4459.81,71,4,0,1,1,1,Student,Conservative,17904.81,1436.12,44,1,0,1,0,0,36,0,34,0,65,7961.3,0.18,0.7,"Customer Profile:
Age: 49
Income: $95535.61 yearly ($7961.30 monthly)
Credit Score: 685
Account Balance: $4459.81
Total Assets: $17904.81
Monthly Expenses: $1436.12
Savings Ratio: 0.70
Debt-to-Income Ratio: 0.18
Tenure: 71 months
Current Products: 4
Customer Segment: Student
Risk Profile: Conservative
Last Interaction: 44 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
20,25,38426.65,557,22381.83,168,3,0,1,1,0,Student,Aggressive,36756.75,5120.63,65,1,0,0,56,1,0,0,99,1,0,3202.22,0.36,0.0,"Customer Profile:
Age: 25
Income: $38426.65 yearly ($3202.22 monthly)
Credit Score: 557
Account Balance: $22381.83
Total Assets: $36756.75
Monthly Expenses: $5120.63
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.36
Tenure: 168 months
Current Products: 3
Customer Segment: Student
Risk Profile: Aggressive
Last Interaction: 65 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: No
Personal Loan: Yes
"
21,22,52738.15,390,32433.99,38,2,1,0,0,1,Standard,Aggressive,13805.82,2833.56,98,1,0,1,0,1,0,1,0,0,98,4394.85,0.19,0.36,"Customer Profile:
Age: 22
Income: $52738.15 yearly ($4394.85 monthly)
Credit Score: 390
Account Balance: $32433.99
Total Assets: $13805.82
Monthly Expenses: $2833.56
Savings Ratio: 0.36
Debt-to-Income Ratio: 0.19
Tenure: 38 months
Current Products: 2
Customer Segment: Standard
Risk Profile: Aggressive
Last Interaction: 98 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: No
"
22,26,59650.91,431,1524.84,16,3,0,1,0,1,Student,Aggressive,1972.46,3529.08,28,0,52,0,50,1,0,0,14,1,0,4970.91,0.35,0.29,"Customer Profile:
Age: 26
Income: $59650.91 yearly ($4970.91 monthly)
Credit Score: 431
Account Balance: $1524.84
Total Assets: $1972.46
Monthly Expenses: $3529.08
Savings Ratio: 0.29
Debt-to-Income Ratio: 0.35
Tenure: 16 months
Current Products: 3
Customer Segment: Student
Risk Profile: Aggressive
Last Interaction: 28 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: No
Personal Loan: Yes
"
23,62,61863.43,377,41790.97,20,2,0,1,0,0,Student,Moderate,20207.01,3469.37,70,0,65,1,0,1,0,1,0,1,0,5155.29,0.44,0.33,"Customer Profile:
Age: 62
Income: $61863.43 yearly ($5155.29 monthly)
Credit Score: 377
Account Balance: $41790.97
Total Assets: $20207.01
Monthly Expenses: $3469.37
Savings Ratio: 0.33
Debt-to-Income Ratio: 0.44
Tenure: 20 months
Current Products: 2
Customer Segment: Student
Risk Profile: Moderate
Last Interaction: 70 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: No
Has Credit Card: No
Premium Credit Card: No
Mortgage Refinance: Yes
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: Yes
"
24,71,61540.28,784,35740.89,170,2,0,0,1,0,Senior,Very Conservative,313402.96,2694.6,53,0,85,0,24,1,0,0,30,0,83,5128.36,0.54,0.47,"Customer Profile:
Age: 71
Income: $61540.28 yearly ($5128.36 monthly)
Credit Score: 784
Account Balance: $35740.89
Total Assets: $313402.96
Monthly Expenses: $2694.60
Savings Ratio: 0.47
Debt-to-Income Ratio: 0.54
Tenure: 170 months
Current Products: 2
Customer Segment: Senior
Risk Profile: Very Conservative
Last Interaction: 53 days ago
Active Investment: No
Has Mortgage: No
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: No
Personal Loan: No
"
25,79,86474.81,501,23671.89,226,4,1,1,0,1,Student,Very Aggressive,77303.42,3700.91,28,0,80,0,86,1,0,0,14,0,68,7206.23,0.23,0.49,"Customer Profile:
Age: 79
Income: $86474.81 yearly ($7206.23 monthly)
Credit Score: 501
Account Balance: $23671.89
Total Assets: $77303.42
Monthly Expenses: $3700.91
Savings Ratio: 0.49
Debt-to-Income Ratio: 0.23
Tenure: 226 months
Current Products: 4
Customer Segment: Student
Risk Profile: Very Aggressive
Last Interaction: 28 days ago
Active Investment: Yes
Has Mortgage: Yes
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: No
Personal Loan: No
"
26,45,54449.8,748,12731.92,190,1,1,1,1,1,Senior,Aggressive,143545.81,2121.25,20,1,0,0,92,1,0,1,0,0,87,4537.48,0.14,0.53,"Customer Profile:
Age: 45
Income: $54449.80 yearly ($4537.48 monthly)
Credit Score: 748
Account Balance: $12731.92
Total Assets: $143545.81
Monthly Expenses: $2121.25
Savings Ratio: 0.53
Debt-to-Income Ratio: 0.14
Tenure: 190 months
Current Products: 1
Customer Segment: Senior
Risk Profile: Aggressive
Last Interaction: 20 days ago
Active Investment: Yes
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: No
"
27,67,121565.82,849,28035.19,177,4,1,0,0,1,Basic,Conservative,33933.71,1730.4,39,0,30,1,0,1,0,0,61,0,44,10130.48,0.25,0.7,"Customer Profile:
Age: 67
Income: $121565.82 yearly ($10130.48 monthly)
Credit Score: 849
Account Balance: $28035.19
Total Assets: $33933.71
Monthly Expenses: $1730.40
Savings Ratio: 0.70
Debt-to-Income Ratio: 0.25
Tenure: 177 months
Current Products: 4
Customer Segment: Basic
Risk Profile: Conservative
Last Interaction: 39 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: Yes
Investment Account: Yes
High Yield Savings: No
Personal Loan: No
"
28,36,97963.43,431,26366.5,140,4,0,0,0,1,Premium,Moderate,17277.86,6158.69,4,0,25,0,99,1,0,0,30,1,0,8163.62,0.12,0.25,"Customer Profile:
Age: 36
Income: $97963.43 yearly ($8163.62 monthly)
Credit Score: 431
Account Balance: $26366.50
Total Assets: $17277.86
Monthly Expenses: $6158.69
Savings Ratio: 0.25
Debt-to-Income Ratio: 0.12
Tenure: 140 months
Current Products: 4
Customer Segment: Premium
Risk Profile: Moderate
Last Interaction: 4 days ago
Active Investment: No
Has Mortgage: No
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: No
Personal Loan: Yes
"
29,47,74574.21,444,16293.11,21,4,0,1,1,0,Student,Very Aggressive,28280.95,6428.1,54,1,0,0,78,1,0,0,92,1,0,6214.52,0.22,0.0,"Customer Profile:
Age: 47
Income: $74574.21 yearly ($6214.52 monthly)
Credit Score: 444
Account Balance: $16293.11
Total Assets: $28280.95
Monthly Expenses: $6428.10
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.22
Tenure: 21 months
Current Products: 4
Customer Segment: Student
Risk Profile: Very Aggressive
Last Interaction: 54 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: No
Personal Loan: Yes
"
30,32,89857.68,777,3908.1,84,4,0,0,1,0,Premium,Very Aggressive,44400.59,2503.5,43,0,77,1,0,1,0,1,0,1,0,7488.14,0.47,0.67,"Customer Profile:
Age: 32
Income: $89857.68 yearly ($7488.14 monthly)
Credit Score: 777
Account Balance: $3908.10
Total Assets: $44400.59
Monthly Expenses: $2503.50
Savings Ratio: 0.67
Debt-to-Income Ratio: 0.47
Tenure: 84 months
Current Products: 4
Customer Segment: Premium
Risk Profile: Very Aggressive
Last Interaction: 43 days ago
Active Investment: No
Has Mortgage: No
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: No
Mortgage Refinance: Yes
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: Yes
"
31,65,9550.2,560,32129.67,14,2,1,0,1,0,Premium,Moderate,122895.62,4794.86,8,0,0,0,91,1,0,1,0,0,48,795.85,0.53,0.0,"Customer Profile:
Age: 65
Income: $9550.20 yearly ($795.85 monthly)
Credit Score: 560
Account Balance: $32129.67
Total Assets: $122895.62
Monthly Expenses: $4794.86
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.53
Tenure: 14 months
Current Products: 2
Customer Segment: Premium
Risk Profile: Moderate
Last Interaction: 8 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: No
"
32,79,73102.42,617,10434.48,138,3,0,1,0,0,Student,Moderate,21533.18,7306.7,67,0,65,0,80,1,0,1,0,0,56,6091.87,0.52,0.0,"Customer Profile:
Age: 79
Income: $73102.42 yearly ($6091.87 monthly)
Credit Score: 617
Account Balance: $10434.48
Total Assets: $21533.18
Monthly Expenses: $7306.70
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.52
Tenure: 138 months
Current Products: 3
Customer Segment: Student
Risk Profile: Moderate
Last Interaction: 67 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: No
Has Credit Card: No
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: No
"
33,43,107641.93,691,7849.42,53,4,0,1,0,1,Premium,Moderate,46031.92,1142.24,15,1,0,0,2,0,89,0,76,0,37,8970.16,0.49,0.7,"Customer Profile:
Age: 43
Income: $107641.93 yearly ($8970.16 monthly)
Credit Score: 691
Account Balance: $7849.42
Total Assets: $46031.92
Monthly Expenses: $1142.24
Savings Ratio: 0.70
Debt-to-Income Ratio: 0.49
Tenure: 53 months
Current Products: 4
Customer Segment: Premium
Risk Profile: Moderate
Last Interaction: 15 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
34,35,98509.07,551,11626.02,195,3,1,1,1,0,Basic,Very Conservative,12525.5,4042.64,27,1,0,0,11,1,0,1,0,0,92,8209.09,0.29,0.51,"Customer Profile:
Age: 35
Income: $98509.07 yearly ($8209.09 monthly)
Credit Score: 551
Account Balance: $11626.02
Total Assets: $12525.50
Monthly Expenses: $4042.64
Savings Ratio: 0.51
Debt-to-Income Ratio: 0.29
Tenure: 195 months
Current Products: 3
Customer Segment: Basic
Risk Profile: Very Conservative
Last Interaction: 27 days ago
Active Investment: Yes
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: No
"
35,48,42515.09,379,39878.15,210,1,1,0,1,1,Student,Aggressive,54053.71,4871.69,29,0,94,0,18,0,48,0,21,1,0,3542.92,0.38,0.0,"Customer Profile:
Age: 48
Income: $42515.09 yearly ($3542.92 monthly)
Credit Score: 379
Account Balance: $39878.15
Total Assets: $54053.71
Monthly Expenses: $4871.69
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.38
Tenure: 210 months
Current Products: 1
Customer Segment: Student
Risk Profile: Aggressive
Last Interaction: 29 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: No
High Yield Savings: No
Personal Loan: Yes
"
36,45,70508.99,807,105310.51,70,4,1,1,1,1,Student,Aggressive,286536.98,3227.21,50,1,0,1,0,0,24,0,57,1,0,5875.75,0.38,0.45,"Customer Profile:
Age: 45
Income: $70508.99 yearly ($5875.75 monthly)
Credit Score: 807
Account Balance: $105310.51
Total Assets: $286536.98
Monthly Expenses: $3227.21
Savings Ratio: 0.45
Debt-to-Income Ratio: 0.38
Tenure: 70 months
Current Products: 4
Customer Segment: Student
Risk Profile: Aggressive
Last Interaction: 50 days ago
Active Investment: Yes
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: No
Personal Loan: Yes
"
37,72,45058.2,399,35696.81,12,3,0,1,1,1,Basic,Aggressive,35537.34,2614.12,59,0,33,0,49,1,0,1,0,1,0,3754.85,0.54,0.3,"Customer Profile:
Age: 72
Income: $45058.20 yearly ($3754.85 monthly)
Credit Score: 399
Account Balance: $35696.81
Total Assets: $35537.34
Monthly Expenses: $2614.12
Savings Ratio: 0.30
Debt-to-Income Ratio: 0.54
Tenure: 12 months
Current Products: 3
Customer Segment: Basic
Risk Profile: Aggressive
Last Interaction: 59 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: Yes
"
38,42,30634.49,825,20970.3,220,3,1,0,1,0,Basic,Very Conservative,1329265.53,3602.47,28,1,0,0,99,1,0,1,0,1,0,2552.87,0.38,0.0,"Customer Profile:
Age: 42
Income: $30634.49 yearly ($2552.87 monthly)
Credit Score: 825
Account Balance: $20970.30
Total Assets: $1329265.53
Monthly Expenses: $3602.47
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.38
Tenure: 220 months
Current Products: 3
Customer Segment: Basic
Risk Profile: Very Conservative
Last Interaction: 28 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: Yes
"
