,Topic,Pledge
186,10,"We communicate actively online to describe our environmentally responsible tourism activities and share information on the responsible ways to observe Marine wildlife by following the Code of Conduct
Target: 
-       We will  create posts and ad hoc content for our social media to increase awareness of our services and responsible marine wildlife observation about the subject three days a week. 
-       We will  also invite and expect to have each summer two influencers to participate in our activities to increase knowledge about responsible marine wildlife observation, sustainable tourism and knowledge of the Code of Conduct"
187,10,"-EGWA commits to increase online information on greenways by 40 itineraries by 2025 (from 2022).The info will highlight the accessible and environmentally friendly tourism offers, which enhance natural and cultural heritage, and allow to enjoy stunning landscapes and memorable experiences, by walking and cycling."
188,10,"We will introduce an image brochure, our new publication on website of SLOVAKIA TRAVEL, where we will present the story of SLOVAKIA captured in amazing pictures of natural beauty, historical and contemporary architecture, UNESCO heritage and technical monuments. Moreover learning about our traditions rediscovered by a young inspiring generation following the skills of our ancestors in a modern way. Product brochures focused on specific product segments will also be presented online on website to highlight different tourism offers by 2023."
189,10,"As of 2022, on our own digital channels Holland.com and the corresponding social channels (VisitNL) we focus on sharing sustainable travel stories, by highlighting the lesser known ""off the beaten track"" places to visit and sharing stories from locals. We target on nearby markets, because for these markets traveling sustainably to our country is a realistic option. In the end of 2023 this new content scope for Holland.com will be fully implemented.

We encourage our local partners and SMEs to publish their offer on online booking services. By publishing knowledge papers we inform them on how to make their online offerings better discoverable to tourists."
190,10,"The Tourism Cloud Platform and the Destination Network offer a comprehensive solution for managing and distributing tourism information. The Destination Market Intelligence Dashboard and the individual Business Market Intelligence Dashboard, along with an Open Data approach, provide a wealth of information on tourism offerings. This includes non-bookable content, bookable content, business transactions, statistics, and insights from meta data, all of which can be accessed through the dashboards, or exported through API or CSV for use by stakeholders.

By utilizing this platform, destinations are able to provide a wide range of new services and cross-sell between products. Additionally, it provides a single point of truth for all digital presence aspects like websites, destination portals, tour operators, accommodation providers, experience providers, tourism info center and traveler on the destination portal and the individual websites, ensuring that the information is synchronized and consistent in content.

This improves the availability of online information on tourism offers for destinations, making it easier for tourists to find and access the information they need, while also allowing destinations to more effectively promote their offerings. It also allows destinations to make more informed decisions about their tourism industry and respond to changing market trends, resulting in a more efficient and effective tourism industry, which in turn positively impacts the destination.

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them."
191,10,"New architechture of Visit Tuscany 

Visit Tuscany is the web portal to promote Tuscany, as destination. It is connected to several back-office database (see point topic 5.)
https://www.visittuscany.com/en/ 

Tuscany Region, with the support of Visit Tuscany, is re-dedesign the architechture of Visit Tuscany, the portal for digital promotion of the Tuscany destination, according to the principles of user centered design (UCD) and user experience design (UXD). This will improve the availability of online information of the regional tourism offer accessible, unique and targeted by segments and markets.

TARGET 2023-2025
The online availability and usability of information on the destination and on the regional tourist offer has been improved through:

2023:
- putting the “new” Visit Tuscany online"
192,10,"The information on tourism offers is now scattered across outdated paper media and many blogs and destination websites. Most travelers today use Google Maps or a similar application to find their way, but these lack interesting travel content. There is an abundance of interesting travel content on various blogs and websites, but these lack geolocation and are really hard to use on the go when exploring a destination.
SmartGuide pledges to digital travel content that combines geolocation and navigation with exciting local content in one product optimized to use on the go.
To grow the supply of such content offerings, SmartGuide pledges to offer its Content Management System (CMS) to content creators self-service for free to publish digital guides as long as they meet the content quality requirements.  The CMS makes content creation fast and easy with smart functions, such as the import of readily available open data (OSM, Wikipedia) automated route generation, built-in DeepL translations, and natural text-to-speech audio being recorded as you type. The CMS allows anyone to publish a professional travel guide as easy as uploading a video on YouTube. 
Unlike traditional guides (such as Lonely Planet), SmartGuide pledges to leverage the whole community to create guides that cater to tourists and locals with different interests. For example, more than 10 diverse public and private sector authors already contributed to the Prague guide, ranging from tourism boards, museums, campus, tour guides, event organizers and tour operator.

SmartGuide covers over 600 destinations and aims to cover over 7,000 user-generated guides by 2025. That includes many small/rural destinations or attractions. For example in the Czech Republic, there are already more than 150 destination guides providing deeper understanding of the must-see places and inspiring domestic and international tourists to discover exciting places that they would not otherwise notice."
193,10,"Goals:
-	At least 70% of people familiar with Flanders consider Flanders a sustainable destination.
-	The sector’s satisfaction with regard to the information Visit Flanders provides on sustainability reaches at least 8 out of 10.
-	Entrepreneurs, visitors and residents have access to transparent and unambiguous information about the sustainability efforts of Visit Flanders, which it reports on every year.


2.3.1	We interweave all aspects of sustainability into communication on the themes and range of options Visit Flanders has to offer, for visitors, residents and the sector. 
2.3.2	We ensure that the elements relating to accessibility, family-friendliness, planning a visit, public transport, trips with a lower ecological impact, etc. are prominent and available in various languages on all our communication channels. 
2.3.3	We develop a method to ascertain the perception of sustainability with regard to Flanders as a destination.
2.3.4	We actively promote trends in sustainability, opportunities in sustainable entrepreneurship, etc. in our network.
2.3.5	We make complex information about sustainability clear and accessible to operators and providers, for example, by means of unambiguous instructions to reduce environmental impact.
2.3.6	Sustainability performance is monitored and communicated either annually or, where possible, on a permanent basis, to the sector, residents and our visitors."
194,10,"We educate tourism enterprises in the region about the relevant aspects of social, economic and environmental sustainability based on the Agenda 2030 goals and suggest specific steps for business to be more sustainable (checklist) available on our website visitvarmland.com. This would make it easier to follow the development towards sustainable acting. 
We also share the importance of communicating accessibility and sustainability measures a business takes to their customers and potential visitors
Target:  100 % of businesses in Värmland declare their work towards sustainability and accessibility on their website by year 2030, though our job here is to motivate towards the result.
Create and share sustainable travel guides to Värmland on Visit Värmland´s website and social media."
195,11,"We support Austrian tourism industry through bundling of resources and offering them platforms, e.g. in the areas oif innovation, data and sustainability. Community platform is under development and will be launched this year (Q3 2023). We already have a regular jourfix format with all innovation heads in the federal tourism offices where we share best practices and information on relevant topics."
196,11,"Creation and upgrade of the Sustainability Charter of the Azores Platform, where local SME's can report the sustainability reports, indicators, share good practices, and have access to specific tools, templates and news about sustainable development in the Azores. Goal: Platform upgrade by 2023."
197,11,". Connect4Tourism, is a B2B platform that should allow us to channel communication with the Catalan tourist offer and the demand of the different markets, with a platform developed with Microsoft Dynamics 360 tools that will facilitate the creation of community in the Catalan tourism ecosystem and the strengthening of the link with the trade community of the emitting markets, as well as with the influencers and the various prescribers we can count on. It will be 100% new in terms of structuring and improving the link with the actors in demand. As for the offer, it will replace two tools designed so far to support the Catalan tourism sector: 1) the ""CoLab"", a tool designed to promote contact between companies in the sector to be able to solve challenges in a cooperative way,
2) as well as in large part the “Hello!” service. (the part that is managed digitally), because it will provide answers to queries from companies in the Catalan tourism sector.
Target:  start its implementation during the first quarter of 2023"
198,11,"""DTTT Growth Membership - Open Access""

The Digital Tourism Think Tank is proud to have offered one of the leading platforms for thought leadership, industry insights, knowledge and trend analysis for more than a decade. Championing ‘Destination Transformation’ from the very outset, whilst embedding digitalisation as a core driver behind everything, including now a sustainable transition.

Over this time, we have also worked extensively with SMEs, indirectly brought into programmes and initiatives to train, develop and mentor business owners to embrace digital transformation. More recently, we have invested in a ‘Business Growth Membership’, a membership programme exclusively for SMEs, giving weekly insights, best practices, training and design resources to help businesses to remain competitive.

Recently, our goal has been ‘accessibility’, where we want to see as many SMEs as possible get access to these resources. To accelerate this aim, we now offer unlimited ‘Open Access’ to SMEs to Business Growth Membership to all Destination Evolve Members, through a simple enrolment link - shared with businesses in the destination.

Still in progress, we hope to further expand, shape and extend the relevance and accessibility of this resource together with members.

Prerequisites

Whilst we already have a range of DMO Members taking this plan, ‘alignment’ when it comes to buy-in and communication can be challenging.

To further this action, our goal is to focus on bringing DTTT Evolve Members together, as well as interested future members, with the aim of shaping, adapting and communicating resources even more effectively. We recognise that appeal, direct relevance and format are key barriers in ensuring SMEs fully engage.

This requires the following steps:

1. Identify opportunities to provide 'open access' membership to the DTTT Growth Plan, offering SMEs weekly case studies, best practices, insights, training resources and regularly updated tools and services.
2. Integration and/or alignment with existing EU-level resources, including pooling and expanding of existing training resources developed by other tourism organisations to provide an open platform
3. Funding model to be examined to consider where there may be opportunities to expand access, offering broader access together with association and corporate partners.
4. Creation of more practical and business-ready tools, such as always-on campaign planning tools, searchable business best practices and examples of digital and sustainable best practices.
5. Awareness-raising opportunities to introduce resources and create further interest or engagement, with the support of institutional partners.

Measuring Success

1. September 2023 - Announce and launch additional SME-focused tools, resources and features to drive direct action and uptake related to digitalisation and sustainability.
2. November 2023 - Incorporation of a bold proposition for start-ups and SMEs to become more actively engaged, via open-access membership, in future events, awards and other engagement activities.
3. January 2024 - Demonstrate significant growth amongst DMO, Public Sector and Institutional partners in Evolve Membership with active dissemination of benefits to industry.
4. March 2024 - Incorporate tourism SME opportunities in X. Design Week, with the launch of SME-focused training and development initiatives."
199,11,"International Agreements protect cetaceans in the Mediterranean sea: the Barcelona, Bern and Bonn Conventions and ACCOBAMS (Conservation of Cetaceans of the Black Sea, the Mediterranean Sea and
Contiguous Atlantic Area). As commercial Marine wildlife watching/dolphin watching, we voluntarily follow The Code of Good Conduct to approach cetaceans held by ACCOBAMS.
In our tours, we
follow simple rules to approach dolphins, which helps us minimize our impact and disturbance on the species. Moreover, we share with our guests the good practices and the correct way to interact with wildlife.
We also work on involving other players in Marine Tour industry to follow the Code of Conduct,
 In 2023-2025 we will:
-          Before the summer each year Organize one webinar for the general public and one webinar for teachers to involve schools.
-          We will write four blog posts in March, April, June and July about the importance and the pros of following the Code and what species is possible to encounter in Maltese waters.
-          We will present the Code of Conduct during our tours to all our guests and show them how to apply it
-          Yearly we will provide two workshops and explanatory meetings other marine tour operators to improve their offers towards more sustainable services.
-          We commit to Report to the authority any illegality we observe"
200,11,"EnviroNaut Project of which EBI is a partner, will create the first-ever curriculum for the position of “Environmental Officer in Nautical Tourism” and deliver it in form of an online (and free) course.
Therefore, we take this opportunity to pledge that, from the EnviroNaut project, we will promote easily accessible good practices, peer learning and networking for SMEs, including them in the ""Environmental Officer"" course that we are developing.
The course will be available from January 2024. It will be online, free of charge and a pioneer course in the sector.
Currently, the project partners are in the process of development, as the project is active from February 2022."
201,11,"We have implement a partner hub with shared resources and best practice discussions for our collaboration partners in 40 local destinations, which we continue to elaborate. We will also provide online training sessions on sustainability and resilience at least 2 times a year, with an objective to have all partners having engaged in training by year 2025."
202,11,"One of the main programs of Amfiteatru Foundation is ""Productive Hospitality & Responsible Tourism"" and the objective is to transfer the theory of responsible tourism into concrete actions. This includes trainings, events and digital collaboration platforms. 
We will provide career development trainings for almost 1.000 people in three regions (Center, Muntenia, South-East) in tourism related jobs. 
The International Forum for Responsible Tourism was launched in 2013, it is the main event dedicated to responsible tourism in Romania. In 2023 the 8th edition of the event will take place in September and we expect a participation of 200 professionals from Romania and Europe, representatives of public authorities, scholars and researchers, leaders of representative organisations. 
Tourism Observer (www.observatorturistic.ro) is a tool that provides market information
that helps the public sector, as well as for companies and professionals from the hospitality industry and related fields. The platform publishes a monthly bulletin and analysis regarding best practices in responsible tourism. The goal is to increase readership with 50% and facilitate communication between professionals through our platform and online events (see https://www.youtube.com/@fundatiaamfiteatru3981)."
203,11,"1) Together with the partners, implement Balkan Green, educate and support the destinations and businesses to use the existing and new digital platforms. From today´s viewpoint, the objective could be to have reached a minimum of 50 destinations and 100 businesses with education and support activities by 2025. N.B. We might tweak these numbers as the regional collaboration evolves! 
2) Keep all Montenegro´s destinations informed of recent and relevant best practices in our dedicated Slack group (started May 2021), with updates at least 1x every month.
3) Continue with the Travel Massive networking and organise educational events (online, on site and hybrid) in Montenegro (started 2017, by Oct 2022 there were 19) for tourism companies and destinations at least 4x a year.
4) Support international education to reach Western Balkan tourism stakeholders, private and public, at least 1 x a year, by supporting the organisation and programming of educational-experiential events – the 1st one taking place 14-16 November 2022 in Tivat - #TTTT22 – Tivat Tourism Think Tank – Regeneration for the Region that is planned to become a yearly returning event."
204,11,"NBTC has developed several tool kits for public authorities on various aspects of destination management: from guideline visitor management and best practices on involving residents to toolkit on making local produce experienceable that are all available on our website (www.nbtc.nl). We have a lot of networking groups that share a challenge and want to work on it together (from network visitor management in nature area's to frontrunner group on resident's profit on tourism). They share knowledge and spread it to the rest of the county in sessions, presentations, publications and new toolkits.  A digital platform is being launched in Q2 2023 where best practices will be shared for each step of the guideline Destination Management by and for stakeholders of the hospitality economy. (see the description with topic  6) We aim to add at least 10 new best practices every year from 2024 onwards."
205,11,"Rainmaker, as an affiliate member of the UNWTO, partners with Tourism Authorities, Tourism Ministries, Tourism Boards, Tourism Associations, and forms Public Private Partnerships of Joint Ventures to enable destinations and their hospitality and tourism businesses. They rapidly implement democratized and inclusive digital enablement, capacity building, platforms, and applications for all stakeholders in a destination. This allows them to onboard about 1000 hospitality and tourism businesses per week, in order to help them rapidly recover from the pandemic, become more resilient, independent from market-dominating foreign platforms, taking back control of visibility, digital presence, and distribution in order to restore economic sustainability.

Through this approach, Rainmaker provides easily accessible best practice, peer learning, and networking opportunities for SMEs (Small and Medium-sized Enterprises) in the destination. This allows SMEs to access the knowledge and resources they need to improve their businesses, learn from the experiences of others, and network with other tourism industry professionals. This in turn positively impacts the SMEs and the destination by providing a more efficient and effective tourism industry, leading to increased economic sustainability and growth.

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them."
206,11,"The Global Association for the Attractions Industry (IAAPA) represents more than 6,000 attractions, suppliers, and individual members from more than 100 countries. In Europe, we have over 1,400 members, including professionals from amusement parks, theme parks, attractions, water parks, resorts, family entertainment centres, zoos, aquariums, science centres, museums, manufacturers, and suppliers. 

Our industry is a key contributor to Europe’s tourism ecosystem through our impact to EU initiatives such as the EU Tourism Manifesto, whilst our diverse membership attracts international, as well as national visitors. 

IAAPA recognises its value is found in its diverse and engaged membership. We strongly believe in peer learning and the sharing of best practices together with the power of education. As such we are committed to promoting peer learning amongst our membership and in our sector. To this end, we leverage our unique educational platform that provides our members with access to expert knowledge and resources, as well as opportunities for networking and collaboration. 

Our educational programme combines a mix of in-person and online learning together with specific certification courses. In 2022, 300 hours of educational content were available to our members, with 100 hours produced by our Brussels office. 

In addition, and towards the strengthening of this commitment, IAAPA is developing a yearly survey of our members to gather feedback and insights on industry trends, challenges, and best practices. Based on the results of this survey, the goal is to produce a comprehensive document that highlights key findings and recommendations for our members to consider in their own operations and gain insight into potential solutions and objectives. 

Through these efforts, we strive to create a supportive and collaborative environment where our members and other key stakeholders in the attractions industry can learn from one another, share ideas, and drive innovation and growth in our sector."
207,11,"Our Chamber of commerce is partner of the Enterprise Europe Network (https://een.ec.europa.eu/)  will organize 3 living labs during 2022 with a local Mountain association in Piedmont. During each of these living labs we will present best practices and per learning experience about Tourism and sustainability, Tourism and Sport, Tourism and Digitalization.
The programme of the 3 living labs is under costruction but hte dates are already fixed: 17 May 2022, 21/06/2022, 13/09/2022"
208,11,"Emotur lab:  https://emotur.ulpgc.es/en/ - https://euroemotur.eu/

Within the European project Euro-Emotur project (COSME). Euro-Emotur. The journey towards digitalisation. Thinking digital tourism through neuromarketing and emotions.   TOURINN-01-2020. 101038111
Our organization commit to:

Identify and publish at least ten SMEs´ best practices
Organize at least three events for SMEs for networking"
209,12,"AViTeM will contribute to this topic by enhancing its ongoing cooperation work through EU cooperation projects with other organisations, local/regional/national institutions, associations, businesses across Europe and the Mediterranean.
By 2025/2030, we expect to have implemented at least one project aiming to promote new models of tourism development that are in line with the current and future challenges related to climate change"
210,12,"Creation of an online tool (App) that allows the community and tourists to participate in environmental and social activities to offset their carbon footprint.
App to be lunched by 2023"
211,12,"Tourism and particularly tourism transport, contribute significantly to global environmental challenges, and effective policies to address these challenges remain largely absent. The research group Sustainable Tourism & Transport, therefore, strives for meaningful changes that contribute to a reduction of tourism’s environmental footprint by creating an impact on relevant tourism and environmental policy domains and on the awareness and practices of relevant organisations and the public at large. 

In our research, we aim to bridge the knowledge gap between the role of tourism and tourism transport in several global environmental challenges (notably climate change, but also biodiversity loss and health). We use our research to help businesses, consumers, and policymakers to take actions that effectively address these challenges.  

Our research adopts an integrated perspective on tourism that include all tourist flows to and from destinations (domestic and international, and all travel purposes, including business travel). We do so by measuring environmental impacts and developing mitigating policies and strategies, including assessing the societal and economic implications. The results are not only sound reports and articles but also innovative research approaches and tools based on a solid translation of science to the sector practices. 

To this end, we: 
1.	Measure and forecast the effects of tourism and tourism transport on the environment – particularly carbon dioxide (CO2) emissions – and possible consequences for consumers and businesses under current and alternative policy regimes. 
2.	Examine and influence processes of policy formation to guide policy actors in the development of alternative policies that effectively address specific tourism-related environmental challenges – particularly climate change. 
3.	Explore innovative approaches, measures, ideas, and new applications.
4.	Develop innovative tools – including serious gaming applications and enlightening translations of scientific outcomes for both policy-makers, the public, and business leaders – to assist policy-making.

To create impact with our research, we aim for scientific integrity, quality, credibility, societal relevance, and consistency. Staying true to science is central to our approach. We only engage in consultancy and research projects when there is a direct link to our own research track record or knowledge of the scientific state-of-the-art. And we aim for solid, pro-active science communication and inclusive engagement with all relevant stakeholders across the political spectrum. 
We do so by:
1	Pursuing relevant research and consultancy projects in the tourism and environmental policy domain, with a focus on tourism-related transport issues. 
2	Integrate the findings in reports and outputs that are immediately relevant for stakeholders in this domain because they provide science-based directions to ongoing policy debates. 
3	Publishing the findings of our research in reputable, international peer-reviewed academic publications. 
4	Present and discuss our findings and hypotheses at international scientific and applied conferences and workshops. 
5	Engage with policymakers and the general public through mainstream media and other (social) media channels to address key societal challenges based on our research. 

The Sustainable Tourism research group currently consists of six dedicated researchers, who supervise over twenty master’s and undergraduate students, are commissioners of another ten to fifteen thesis students, conduct five to ten projects, and publish many scientific and professional papers annually. Research is disseminated at international workshops, conferences, and both national and international social and public media and is available on the BUas Research Portal: https://pure.buas.nl/en/organisations/centre-for-sustainability-tourism-and-transport-cstt"
212,12,"Project ""Rural Bike Conecta"", a sustainable network of cyclable paths connecting each natural protected space in our Region with the others, what practically means connecting almost every point of Castilla-La Mancha (by 2025).
Project to deploy a 80 astronomical observatories and viewpoints all over our territory in order to boost astronomical tourism as a sustainable way to enjoy rural areas (by 2025)."
213,12,"EcoMarine Malta utilizes part of the profit of the various activities to fund its independent research about Bottlenose dolphins and the interaction between dolphins and aquaculture sites in Malta. We are developing a photo-identification catalogue to share with universities and organizations working in the Mediterranean basin to increase knowledge about such a population. EcoMarine aims to bridge science and the general public, creating awareness about the marine environment and promoting sustainable marine life watching activities in the Mediterranean area and other countries. We recently launched a Citizen science project called SightMe. The aim is to engage boat users to report sightings of cetaceans and turtles in Maltese and Mediterranean waters to increase information about the presence and distribution of the different species. 
We also want to support other countries, especially small islands and developing countries, to follow the EcoMarine Malta model to develop Social Enterprises aimed at conserving the marine environment and local people's employment.

Targets: 
Share the photo-identification catalogue by the end of 2022 with Universities and Organizations working in the Mediterranean sea. 
We will participate in European and National calls and Tenders at least two times each year with the objective to increase the number of boats involved in marine life watching and continue the research on dolphins with more sophisticated techniques. 
Analise and share data collected at Citizen science platform SightMe.org as a public database available by the end of each year starting from 2023
By 2025 we aim to have established a pilot project in Kenia, in collaboration with Taste Roots Cooperative Society and local stakeholders, to create an alternative to mass tourism in the area by training the local community and stakeholders and providing them with tools to develop sustainable tourism with a strong educational component."
214,12,"We have conducted and still conduct EU projects on measuring and fostering sustainable tourism, financed by the Alpine Space, COSME and Central Europe programmes (e.g. ClimAlpTour, Access2Mountain, INTER-Regio-Rail, InRuTou, SilViAlp).  We are now submitting new project proposals and look forward to being financed to advance the academic and transfer-oriented sustainability field."
215,12,"The Ministry is going to finance procurement of equipment for the development of adventure tourism in rural areas in  2023
The aim is ""Improving the tourist offer in rural areas with an emphasis on adventure tourism in order to improve the quality of services through the purchase of equipment"".
The targets number is 15 companies 
This process has already begun in March 2023"
216,12,"Actively search R&I collaboration opportunities and by 2025, as a consultancy and as the Balkan Green group, to have become a partner in at least one European project developing digitalisation for tourism - especially open data and smart solutions in destination management."
218,12,"NECSTouR plans to align this topic with its activities as partner in the MED Sustainable Tourism Community (STC). STC is the second generation of a horizontal project aiming to find solutions for the protection and promotion of natural and cultural resources in the Mediterranean area through a coherent strategy of Community Building, Communication and Capitalisation. The Community gathers 22 projects co-funded by the European Regional Development Fund (ERDF) dealing with sustainable tourism in coastal destinations tackling the priority “environmental protection”. This means that the Community is a source of tested project outcomes dealing with tourism product diversification, addressing negative impacts into the landscape and society, tools and methodologies to better manage and measure tourism. As part of the Climate Action Plan implementation our work will be to analyse which of those examples can fit our (renewed) knowledge hub to guide destinations into the greening transitions. For this at least one more workshop will take place before the ned of 2022. NECSTouR being the partner in charge of the capitalisation activities and the “EU” antenna, transfers the Community’s outcomes to our knowledge hub and mainstreams policy recommendations into the European agenda. The capitalisation is being made through cooperation events and regional working groups."
219,12,"See nr 9: After the development of the Roadmap for Climate-neutral tourism the network will now work on implementing, researching and taking concrete actions from 2023. We aim to reach 100 destinations and stimulate them to implement and start pilots. We help at least 5 cities in 2023 to develop a local roadmap for sustainable tourism.   And we have a impuls-budget in 2023 to co-finance destination management pilots from the region that are sustainable."
220,12,"A Tourism Innovation Development Network (RDIT), with the collaboration of the Tourism Innovation Lab in Angers, initiated in 2020 a collective intersectoral regional dynamic which must be continued to stimulate innovation in the tourism market. The underlying objectives are to better support innovative project leaders and to encourage tourism and non-tourism companies interested in the tourism market to make greater use of innovation, in collaboration with our partners such as incubators, technopoles, competence centres, ...
This support will focus on the key sectors of tourism of our territory: nature tourism in connection with the national parks by supporting environmental excellence, agrotourism and wine tourism which were strongly supported during the last programming period (more than 150 projects financed between 2016 and 2021), nautical tourism (e.g. the CAPITEN project financed by Interreg Atlantic Area).
Over the period 2022-2028, we will extend our area of focus to sustainable cultural tourism via a dedicated regional call for projects in order to further exploit the tourism potential of heritage sites and monuments with the aim of developing their attendance, modernising their offers, and making them evolve in line with the expectations of customers."
221,12,"At the local level we have a long partnership with the Nouvelle-Aquitaine region whom we share common views on sustainable topics with; moreover, we started to sketch together (with the regional committee of tourism) a plan for sustainable tourism in the Nouvelle-Aquitaine area. The idea here is to draw an Ocean friendly region on tourism topics with the tenet ""avoid, reduce and compensate"". SFE will support the Nouvelle-Aquitaine region businesses and industries towards blue tourism through ocean friendly restaurant campaign (see topic 7), our work about green sport on the aspect of the particular attractiveness of the coastal area and of nautical sports. We will also have a specific focus on cruises (see topic 6) and how we can support Nouvelle-Aquitaine ferries. This plan will take place in 2023 to 2026 with a long term partnership. Durant 2023 and 2024 we will work on major events, especially sport event (with rugby world cup and olympic games) on how to make them more sustainable. SFE develop a robust expertise on sustainable sport, leading an European project, the Green Sport Hub Europe. 2024 will be also a year of reflexion on how we can raise awareness on ocean protection among the Nouvelle-Aquitaine residents, as the gran majority of costal touriste are inlanders. With the help of the region, it could be a massive publicity campaign. At last, 2025 and 2026 will be on slow mobility through the region, with train as a center piece, linked with other way of moving (by foot, public transportation, bike, skate, and why not, surf!). A major work will be on working with municipalities (as transport is a part of their prerogatives) to design those path.
Is success, we aim to work on this topic with other region and/or islands (ideally french Caribbean islands)."
222,12,"CLIMATE-ORIENTED TOURISM
Current situation: By participation in the European Union’s mission named 100 Climate-Neutral and Smart Cities by 2030 (Mission for cities), the City of Zagreb plans to implement the activities under three priorities which encompass all phases of enhancement of single components contained in the measures. By increasing energy efficiency (“energy efficiency first”), by strongly stimulating the development and use of renewable energy sources, whose current share in energy balance of the City of Zagreb is almost insignificant, and by digitalisation of energy infrastructure (smart networks and remote reading of energy and water consumption), a systematic and synergistic transformation of the whole system will be ensured, as foreseen by the European Green Deal guidelines.
Stimulation of the introduction of zero-emission vehicles and the accompanying infrastructure will resolve one of the biggest problems in the area of the City of Zagreb, i.e. the continuously growing, negative, impact of emission gases from the traffic sector. Finally, considering the growing negative impact of climate changes, a series of activities concerning the adaptation to climate changes and local negative weather extremes has been defined in order to increase the resilience of the overall critical infrastructure and enhance the readiness of civil protection system. Urban planning, i.e. the processes of landscape planning in the City of Zagreb (PPGZ (Spatial Plan of the City of Zagreb), GUP (General Urban Development Plan), UPUs (Urban Landscaping Plans) etc.) are a very important legislative lever of the City, which has to be used by introducing energy and climate policies in those landscape planning documents in order to stimulate the green transition processes. 
Measure: Drafting documents which will define the activities, measures and projects by systematically and comprehensively identifying the needs of each single part of the infrastructure which impact the energy efficiency and reduction of greenhouse gas emissions and other detrimental compound emissions. 
Objective: Setting up and implementing the measures, activities and projects which will save energy, improve air quality and finally enhance the quality of life."
223,12,"Timiș County Council had applied to BeCultour project funded by the European Union’s Horizon 2020 research and innovation programme being now part of this community of passionate regional representatives committed to shaping the future of circular cultural tourism in their territory - https://becultour.eu/timis-county-council-romania. 

Concrete target: designing an action plan by the end of the project - 2023 and to implement after in our ecosystem by cooperating with stakeholders; The actions we will include in our action plan are: 
Program for recognizing the quality and sustainability of tourism services and products (label for local services and products);
Incentive program for accommodation units (3 nights accommodation at price of 2 nights accommodation);
Implementation by tourism operators of the circular economy elements (use of green energy, use of short supply chains - purchase products directly from local producers);
Awareness of the importance of preserving and capitalizing on the built heritage by communicating opportunities or benefits to owners of houses in the area (benefits regarding the use of natural materials in the construction or arrangement of houses, opportunities for the development of tourism activities)."
224,12,"• TUI and the TUI Care Foundation will partner with the Greek government of the South Aegean Region in Greece to deploy the Co-Lab project in Rhodes during the next five years. In collaboration with other local stakeholders, the initiative will investigate and develop sustainable solutions in tourism that will serve as blue-print and leading example of transformation for other tourism destinations. The concept of the Rhodes Co-Lab is built on the structure of four cornerstones: 
o	Create green economic growth 
o	Green transformation and circular economy 
o	Restore biodiversity and protect the natural environment 
o	Strengthen positive social and economic impact of tourism.
• TUI will focus on leveraging data to drive the sustainable transition. By building on tech solutions which largely rely on data (e.g. the water cleaning systems in hotels), we aim to increase the transferability of that knowledge to implement data-driven solutions in more hotels."
225,13,We use the CO2 footprint calculations model of professor Paul Peeters. We will do more research on this in 2023 and investigate how and when we will use PEF/ OEF methods.
226,14,"₋ Amadeus has created a travel and mobility data space called Eona-X, based on the Gaia-X principles along with other European travel and tourism stakeholders. Our will is to build new cooperative models and data driven business cases for the benefit of the entire travel ecosystem. The first use case is focused on multimodality. By 2025, Eona-X should play a key role to allow data exchanges in real time between mobility and tourism players across EU
₋ Amadeus has joined a consortium to respond to the call launched by the Digital Europe Programme on the Tourism dataspace and we want to connect this initiative to the existing Eona-X.
- Amadeus is engaged in the IPCEI on Next Generation Cloud Infrastructure and Services. We are developing a project concept to set up a Data Exchange Platform that is needed to orchestrate the flow and exchange of data. By 2030, this cloud based platform should allow cross fertilization between the different sectoral dataspaces."
227,14,"AnySolution is vicepresident of the Spanish National hub of Gaia-X and co-leader of the tourism data space working group. It will contribute to the generation of sound tourism data spaces in tourism. 
We have also submitted a proposal to the EU call. 
We also work with EONA-X 
By 2030 we want to be members in the Europea Data Space and we hope to have supported the creation of two tourism data spaces."
228,14,"Arctur`s Tourism 4.0 is a partner in two Digital Europe projects:
i) Dates - data spaces for tourism (duration 12 months)
ii) 5D Culture - data spaces for heritage projects (24 months)
Both projects are preparatory activities.
Dates with exploring approaches and options for the deployment of a secure and trusted tourism data space, ensuring transparent control of data access, use and re-use. Focus is on the development of governance and business models while providing a shared roadmap that will ensure the coordination of the tourism ecosystem stakeholders and the connection between data ecosystems at the EU level and interconnected data spaces in other sectors.  5D Culture focuses on exploring different reuse dimensions of the 3D content, in total demonstrating different scenarios.
 
Arctur itself is leading the Tourism 4.0 initiative with 200+ international partners. One of the T4.0 Innovations is Tourism 4.0 Core - a semantically organised data storage, where applications store their data. It includes tools for search and merging of data and supports secure exchange of enriched data between stakeholders. Use of joint data catalogue enables discovery, search, understanding and increases trust in data. T4.0 Core supports sustainable development of services and products, improves interaction of stakeholders in development, and increases added value of services. 
More: https://tourism4-0.org/core/

Target for 2023: Actively contribute with the Tourism 4.0 knowledge to the development of the EU Code of Conduct for digital data sharing.
Target for 2025: The tourism 4.0 ecosystem (of 200+ partners) will use the agreed EU Code of Conduct for digital data sharing in the tourism data space."
